,index,beer_name,total_rate,average_rate,beer_url,manufacturer_url,latest_active_date,year,month,day
0,0,90 Minute IPA,"16,526",4.27,https://www.beeradvocate.com/beer/profile/64/2093/,https://www.beeradvocate.com/beer/profile/64/,2024-02-24,2024,2,24
1,1,Pliny The Elder,"15,687",4.64,https://www.beeradvocate.com/beer/profile/863/7971/,https://www.beeradvocate.com/beer/profile/863/,2024-02-29,2024,2,29
2,2,Heady Topper,"15,274",4.71,https://www.beeradvocate.com/beer/profile/46317/16814/,https://www.beeradvocate.com/beer/profile/46317/,2024-02-29,2024,2,29
3,3,Hopslam Ale,"14,024",4.45,https://www.beeradvocate.com/beer/profile/287/17112/,https://www.beeradvocate.com/beer/profile/287/,2024-02-22,2024,2,22
4,4,Enjoy By IPA,"11,207",4.41,https://www.beeradvocate.com/beer/profile/147/84596/,https://www.beeradvocate.com/beer/profile/147/,2023-09-30,2023,9,30
5,5,Ruination IPA,"10,977",4.29,https://www.beeradvocate.com/beer/profile/147/4083/,https://www.beeradvocate.com/beer/profile/147/,2024-03-02,2024,3,2
6,6,Lagunitas Sucks,"10,520",4.32,https://www.beeradvocate.com/beer/profile/220/74986/,https://www.beeradvocate.com/beer/profile/220/,2024-02-17,2024,2,17
7,7,120 Minute IPA,"8,844",4.12,https://www.beeradvocate.com/beer/profile/64/9086/,https://www.beeradvocate.com/beer/profile/64/,2024-02-06,2024,2,6
8,8,Double Jack,"7,654",4.33,https://www.beeradvocate.com/beer/profile/2210/50697/,https://www.beeradvocate.com/beer/profile/2210/,2023-01-17,2023,1,17
9,9,DirtWolf,"6,882",4.27,https://www.beeradvocate.com/beer/profile/345/99873/,https://www.beeradvocate.com/beer/profile/345/,2024-02-25,2024,2,25
10,10,Burton Baton,"6,753",4.23,https://www.beeradvocate.com/beer/profile/64/18862/,https://www.beeradvocate.com/beer/profile/64/,2023-05-21,2023,5,21
11,11,Double Trouble,"6,683",4.2,https://www.beeradvocate.com/beer/profile/1199/34146/,https://www.beeradvocate.com/beer/profile/1199/,2023-11-26,2023,11,26
12,12,Hoptimum,"6,546",4.18,https://www.beeradvocate.com/beer/profile/140/55939/,https://www.beeradvocate.com/beer/profile/140/,2024-03-01,2024,3,1
13,13,Dreadnaught,"6,289",4.4,https://www.beeradvocate.com/beer/profile/26/1558/,https://www.beeradvocate.com/beer/profile/26/,2023-11-25,2023,11,25
14,14,Sip Of Sunshine,"6,163",4.55,https://www.beeradvocate.com/beer/profile/17980/117177/,https://www.beeradvocate.com/beer/profile/17980/,2024-02-29,2024,2,29
15,15,RuinTen Triple IPA,"5,901",4.3,https://www.beeradvocate.com/beer/profile/147/82250/,https://www.beeradvocate.com/beer/profile/147/,2023-11-14,2023,11,14
16,16,Maximus,"5,884",3.99,https://www.beeradvocate.com/beer/profile/220/1372/,https://www.beeradvocate.com/beer/profile/220/,2024-02-15,2024,2,15
17,17,Maharaja,"5,823",4.23,https://www.beeradvocate.com/beer/profile/30/22352/,https://www.beeradvocate.com/beer/profile/30/,2023-12-20,2023,12,20
18,18,Resin,"5,134",4.12,https://www.beeradvocate.com/beer/profile/10607/77299/,https://www.beeradvocate.com/beer/profile/10607/,2024-02-16,2024,2,16
19,19,Devil Dancer,"5,114",3.9,https://www.beeradvocate.com/beer/profile/1199/17538/,https://www.beeradvocate.com/beer/profile/1199/,2024-01-05,2024,1,5
20,20,2XIPA,"4,852",4.02,https://www.beeradvocate.com/beer/profile/3818/57908/,https://www.beeradvocate.com/beer/profile/3818/,2024-02-20,2024,2,20
21,21,Abrasive Ale,"4,832",4.5,https://www.beeradvocate.com/beer/profile/13014/46849/,https://www.beeradvocate.com/beer/profile/13014/,2023-12-02,2023,12,2
22,22,Hercules Double IPA,"4,276",4.12,https://www.beeradvocate.com/beer/profile/158/17060/,https://www.beeradvocate.com/beer/profile/158/,2023-12-16,2023,12,16
23,23,Palate Wrecker,"4,185",4.16,https://www.beeradvocate.com/beer/profile/2743/45175/,https://www.beeradvocate.com/beer/profile/2743/,2023-11-26,2023,11,26
24,24,Perpetual IPA,"3,863",4.07,https://www.beeradvocate.com/beer/profile/694/71969/,https://www.beeradvocate.com/beer/profile/694/,2024-01-21,2024,1,21
