,rate_member,location,rate_score,rate_date,comment,beer_url,beer_name,year,month,day
0,beernooph,Connecticut,4.31,2024-02-24,,https://www.beeradvocate.com/beer/profile/64/2093/,90 Minute IPA,2024,2,24
1,Michael_Reese91,0,4.75,2024-02-20,,https://www.beeradvocate.com/beer/profile/64/2093/,90 Minute IPA,2024,2,20
2,Vintage-Vee77,0,4.59,2024-02-17,,https://www.beeradvocate.com/beer/profile/64/2093/,90 Minute IPA,2024,2,17
3,BLVBBERGIXLL,Arizona,4.27,2024-02-09,,https://www.beeradvocate.com/beer/profile/64/2093/,90 Minute IPA,2024,2,9
4,GeraldBrew1985,0,4.54,2024-02-04,,https://www.beeradvocate.com/beer/profile/64/2093/,90 Minute IPA,2024,2,4
5,JISurfer,Utah,4.24,2024-01-26,,https://www.beeradvocate.com/beer/profile/64/2093/,90 Minute IPA,2024,1,26
6,joecam,Florida,4.59,2024-01-15,,https://www.beeradvocate.com/beer/profile/64/2093/,90 Minute IPA,2024,1,15
7,SeanP99,North Carolina,1.79,2024-01-11,,https://www.beeradvocate.com/beer/profile/64/2093/,90 Minute IPA,2024,1,11
8,Maxxis,Illinois,4.15,2024-01-09,,https://www.beeradvocate.com/beer/profile/64/2093/,90 Minute IPA,2024,1,9
9,Rodya-CA,California,3.96,2024-01-08,,https://www.beeradvocate.com/beer/profile/64/2093/,90 Minute IPA,2024,1,8
10,porterman66,Massachusetts,4.44,2024-01-01,,https://www.beeradvocate.com/beer/profile/64/2093/,90 Minute IPA,2024,1,1
11,superwho24,Arkansas,4.95,2023-12-30,,https://www.beeradvocate.com/beer/profile/64/2093/,90 Minute IPA,2023,12,30
12,Iggy88,Ohio,4.25,2023-12-20,,https://www.beeradvocate.com/beer/profile/64/2093/,90 Minute IPA,2023,12,20
13,Brewsta,Colorado,4.24,2024-02-09,"Poured slightly dark orange with a off white head from a 12 oz bottle. Hazy to clear with the foamy head disapating to lace. Aromas are strongly floral with sweet malt. The flavors are heavy hop with malty sweetness. Aftertaste is drying and spicy, with warming alcohol. Very good",https://www.beeradvocate.com/beer/profile/64/2093/,90 Minute IPA,2024,2,9
14,ivanbrew,0,0.0,2024-02-05,I thought the beer was way to sweet for an imperial ipa,https://www.beeradvocate.com/beer/profile/64/2093/,90 Minute IPA,2024,2,5
15,DistrictElite,District of Columbia,4.17,2024-01-27,"It’s not the best in the world, but it’s darn good and lives up to its ranking.",https://www.beeradvocate.com/beer/profile/64/2093/,90 Minute IPA,2024,1,27
16,jbolger,Connecticut,4.21,2024-01-25,It’s not the best IPA in America but it is very good. Nice malty backbone but I do get the 9% ABV. Would pick up again but it has a lot of competition.,https://www.beeradvocate.com/beer/profile/64/2093/,90 Minute IPA,2024,1,25
